"time","count_c2","count_mc","count_mco"
0.2200000001220009,0,0,0
0.2200000001220009,0,0,0
0.222,0,0,0
0.224,0,0,0
0.226,0,0,0
0.228,0,0,0
0.23,0,0,0
0.232,0,0,0
0.234,0,0,0
0.236,0,0,0
0.238,0,0,0
0.24,0,0,0
0.242,0,0,0
0.244,0,0,0
0.246,0,0,0
0.248,0,0,0
0.25,0,0,0
0.25,0,0,0
0.252,0,0,0
0.254,0,0,0
0.256,0,0,0
0.258,0,0,0
0.26,0,0,0
0.262,0,0,0
0.264,0,0,0
0.266,0,0,0
0.268,0,0,0
0.27,0,0,0
0.272,0,0,0
0.274,0,0,0
0.276,0,0,0
0.278,0,0,0
0.28,0,0,0
0.282,0,0,0
0.284,0,0,0
0.286,0,0,0
0.288,0,0,0
0.29,0,0,0
0.292,0,0,0
0.294,0,0,0
0.296,0,0,0
0.298,0,0,0
0.3,0,0,0
0.3,0,0,0
0.302,0,0,0
0.304,0,0,0
0.306,0,0,0
0.308,0,0,0
0.31,0,0,0
0.312,0,0,0
0.314,0,0,0
0.316,0,0,0
0.318,0,0,0
0.32,0,0,0
0.322,0,0,0
0.324,0,0,0
0.326,0,0,0
0.328,0,0,0
0.33,0,0,0
0.332,0,0,0
0.334,0,0,0
0.336,0,0,0
0.338,0,0,0
0.34,0,0,0
0.342,0,0,0
0.344,0,0,0
0.346,0,0,0
0.348,0,0,0
0.35,0,0,0
0.35,0,0,0
0.352,0,0,0
0.354,0,0,0
0.356,0,0,0
0.358,0,0,0
0.36,0,0,0
0.362,0,0,0
0.364,0,0,0
0.366,0,0,0
0.368,0,0,0
0.37,0,0,0
0.372,0,0,0
0.374,0,0,0
0.376,0,0,0
0.378,0,0,0
0.38,0,0,0
0.382,0,0,0
0.384,0,0,0
0.386,0,0,0
0.388,0,0,0
0.39,0,0,0
0.392,0,0,0
0.394,0,0,0
0.396,0,0,0
0.398,0,0,0
0.4,0,0,0
0.4,0,0,0
0.402,0,0,0
0.404,0,0,0
0.406,0,0,0
0.408,0,0,0
0.41,0,0,0
0.412,0,0,0
0.414,0,0,0
0.416,0,0,0
0.418,0,0,0
0.42,0,0,0
0.422,0,0,0
0.424,0,0,0
0.426,0,0,0
0.428,0,0,0
0.43,0,0,0
0.432,0,0,0
0.434,0,0,0
0.436,0,0,0
0.438,0,0,0
0.44,0,0,0
0.442,0,0,0
0.444,0,0,0
0.446,0,0,0
0.448,0,0,0
0.45,0,0,0
0.45,0,0,0
0.452,0,0,0
0.454,0,0,0
0.456,0,0,0
0.458,0,0,0
0.46,0,0,0
0.462,0,0,0
0.464,0,0,0
0.466,0,0,0
0.468,0,0,0
0.47,0,0,0
0.472,0,0,0
0.474,0,0,0
0.476,0,0,0
0.478,0,0,0
0.48,0,0,0
0.482,0,0,0
0.484,0,0,0
0.486,0,0,0
0.488,0,0,0
0.49,0,0,0
0.492,0,0,0
0.494,0,0,0
0.496,0,0,0
0.498,0,0,0
0.4999999999999999,0,0,0
0.4999999999999999,0,0,0
0.502,0,0,0
0.504,0,0,0
0.506,0,0,0
0.508,0,0,0
0.51,0,0,0
0.512,0,0,0
0.514,0,0,0
0.516,0,0,0
0.518,0,0,0
0.52,0,0,0
0.522,0,0,0
0.524,0,0,0
0.526,0,0,0
0.528,0,0,0
0.53,0,0,0
0.532,0,0,0
0.534,0,0,0
0.536,0,0,0
0.538,0,0,0
0.54,0,0,0
0.542,0,0,0
0.544,0,0,0
0.546,0,0,0
0.548,0,0,0
0.5499999999999999,0,0,0
0.5499999999999999,0,0,0
0.552,0,0,0
0.554,0,0,0
0.556,0,0,0
0.5580000000000001,0,0,0
0.5600000000000001,0,0,0
0.5620000000000001,0,0,0
0.5639999999999999,0,0,0
0.5659999999999999,0,0,0
0.5679999999999999,0,0,0
0.57,0,0,0
0.572,0,0,0
0.574,0,0,0
0.576,0,0,0
0.578,0,0,0
0.58,0,0,0
0.582,0,0,0
0.584,0,0,0
0.586,0,0,0
0.588,0,0,0
0.59,0,0,0
0.592,0,0,0
0.594,0,0,0
0.596,0,0,0
0.598,0,0,0
0.6,0,0,0
0.6,0,0,0
0.602,0,0,0
0.604,0,0,0
0.606,0,0,0
0.608,0,0,0
0.61,0,0,0
0.612,0,0,0
0.614,0,0,0
0.616,0,0,0
0.618,0,0,0
0.62,0,0,0
0.622,0,0,0
0.624,0,0,0
0.626,0,0,0
0.628,0,0,0
0.63,0,0,0
0.632,0,0,0
0.634,0,0,0
0.636,0,0,0
0.638,0,0,0
0.64,0,0,0
0.642,0,0,0
0.644,0,0,0
0.646,0,0,0
0.648,0,0,0
0.65,0,0,0
0.65,0,0,0
0.652,0,0,0
0.654,0,0,0
0.656,0,0,0
0.658,0,0,0
0.66,0,0,0
0.662,0,0,0
0.664,0,0,0
0.666,0,0,0
0.668,0,0,0
0.67,0,0,0
0.672,0,0,0
0.674,0,0,0
0.676,0,0,0
0.678,0,0,0
0.68,0,0,0
0.6820000000000001,0,0,0
0.6840000000000001,0,0,0
0.6860000000000001,0,0,0
0.6879999999999999,0,0,0
0.6899999999999999,0,0,0
0.6919999999999999,0,0,0
0.694,0,0,0
0.696,0,0,0
0.698,0,0,0
0.7000000000000001,0,0,0
0.7000000000000001,0,0,0
0.702,0,0,0
0.704,0,0,0
0.706,0,0,0
0.708,0,0,0
0.71,0,0,0
0.712,0,0,0
0.714,0,0,0
0.716,0,0,0
0.718,0,0,0
0.72,0,0,0
0.722,0,0,0
0.724,0,0,0
0.726,0,0,0
0.728,0,0,0
0.73,0,0,0
0.732,0,0,0
0.734,0,0,0
0.736,0,0,0
0.738,0,0,0
0.74,0,0,0
0.742,0,0,0
0.744,0,0,0
0.746,0,0,0
0.748,0,0,0
0.7500000000000001,0,0,0
0.7500000000000001,0,0,0
0.752,0,0,0
0.754,0,0,0
0.756,0,0,0
0.758,0,0,0
0.76,0,0,0
0.762,0,0,0
0.764,0,0,0
0.766,0,0,0
0.768,0,0,0
0.77,0,0,0
0.772,0,0,0
0.774,0,0,0
0.776,0,0,0
0.778,0,0,0
0.78,0,0,0
0.782,0,0,0
0.784,0,0,0
0.786,0,0,0
0.788,0,0,0
0.79,0,0,0
0.792,0,0,0
0.794,0,0,0
0.796,0,0,0
0.798,0,0,0
0.8,0,0,0
0.8,0,0,0
0.802,0,0,0
0.804,0,0,0
0.806,0,0,0
0.8080000000000001,0,0,0
0.8100000000000001,0,0,0
0.8120000000000001,0,0,0
0.8139999999999999,0,0,0
0.8159999999999999,0,0,0
0.8179999999999999,0,0,0
0.82,0,0,0
0.822,0,0,0
0.824,0,0,0
0.826,0,0,0
0.828,0,0,0
0.83,0,0,0
0.832,0,0,0
0.834,0,0,0
0.836,0,0,0
0.838,0,0,0
0.84,0,0,0
0.842,0,0,0
0.844,0,0,0
0.846,0,0,0
0.848,0,0,0
0.8500000000000002,0,0,0
0.8500000000000002,0,0,0
0.852,0,0,0
0.854,0,0,0
0.856,0,0,0
0.858,0,0,0
0.86,0,0,0
0.862,0,0,0
0.864,0,0,0
0.866,0,0,0
0.868,0,0,0
0.87,0,0,0
0.872,0,0,0
0.874,0,0,0
0.876,0,0,0
0.878,0,0,0
0.88,0,0,0
0.882,0,0,0
0.884,0,0,0
0.886,0,0,0
0.888,0,0,0
0.89,0,0,0
0.892,0,0,0
0.894,0,0,0
0.896,0,0,0
0.898,0,0,0
0.9000000000000002,0,0,0
0.9000000000000002,0,0,0
0.902,0,0,0
0.904,0,0,0
0.906,0,0,0
0.908,0,0,0
0.91,0,0,0
0.912,0,0,0
0.914,0,0,0
0.916,0,0,0
0.918,0,0,0
0.92,0,0,0
0.922,0,0,0
0.924,0,0,0
0.926,0,0,0
0.928,0,0,0
0.93,0,0,0
0.9320000000000001,0,0,0
0.9340000000000001,0,0,0
0.9360000000000001,0,0,0
0.9379999999999999,0,0,0
0.9399999999999999,0,0,0
0.9419999999999999,0,0,0
0.944,0,0,0
0.946,0,0,0
0.948,0,0,0
0.9500000000000003,0,0,0
0.9500000000000003,0,0,0
0.952,0,0,0
0.954,0,0,0
0.956,0,0,0
0.958,0,0,0
0.96,0,0,0
0.962,0,0,0
0.964,0,0,0
0.966,0,0,0
0.968,0,0,0
0.97,0,0,0
0.972,0,0,0
0.974,0,0,0
0.976,0,0,0
0.978,0,0,0
0.98,0,0,0
0.982,0,0,0
0.984,0,0,0
0.986,0,0,0
0.988,0,0,0
0.99,0,0,0
0.992,0,0,0
0.994,0,0,0
0.996,0,0,0
0.998,0,0,0
1,0,0,0
1,0,0,0
1.002,0,0,0
1.002,0,0,0
1.004,0,0,0
1.006,0,0,0
1.008,0,0,0
1.01,0,0,0
1.012,0,0,0
1.014,0,0,0
1.016,0,0,0
1.018,0,0,0
1.02,0,0,0
1.022,0,0,0
1.024,0,0,0
1.026,0,0,0
1.028,0,0,0
1.03,0,0,0
1.032,0,0,0
1.034,0,0,0
1.036,0,0,0
1.038,0,0,0
1.04,0,0,0
1.042,0,0,0
1.044,0,0,0
1.046,0,0,0
1.048,0,0,0
1.05,0,0,0
1.05,0,0,0
1.052,0,0,0
1.054,0,0,0
1.056,0,0,0
1.058,0,0,0
1.06,0,0,0
1.062,0,0,0
1.064,0,0,0
1.066,0,0,0
1.068,0,0,0
1.07,0,0,0
1.072,0,0,0
1.074,0,0,0
1.076,0,0,0
1.078,0,0,0
1.08,0,0,0
1.082,0,0,0
1.084,0,0,0
1.086,0,0,0
1.088,0,0,0
1.09,0,0,0
1.090087894961812,0,0,0
1.090087894961812,1,1,1
1.092,1,1,1
1.094,1,1,1
1.096,1,1,1
1.098,1,1,1
1.1,1,1,1
1.1,1,1,1
1.102,1,1,1
1.104,1,1,1
1.106,1,1,1
1.108,1,1,1
1.11,1,1,1
1.112,1,1,1
1.114,1,1,1
1.116,1,1,1
1.118,1,1,1
1.12,1,1,1
1.122,1,1,1
1.124,1,1,1
1.126,1,1,1
1.128,1,1,1
1.13,1,1,1
1.132,1,1,1
1.134,1,1,1
1.136,1,1,1
1.138,1,1,1
1.14,1,1,1
1.142,1,1,1
1.144,1,1,1
1.146,1,1,1
1.148,1,1,1
1.15,1,1,1
1.15,1,1,1
1.152,1,1,1
1.154,1,1,1
1.156,1,1,1
1.158,1,1,1
1.16,1,1,1
1.162,1,1,1
1.164,1,1,1
1.166,1,1,1
1.168,1,1,1
1.17,1,1,1
1.172,1,1,1
1.174,1,1,1
1.176,1,1,1
1.178,1,1,1
1.18,1,1,1
1.182,1,1,1
1.184,1,1,1
1.186,1,1,1
1.188,1,1,1
1.19,1,1,1
1.192,1,1,1
1.194,1,1,1
1.196,1,1,1
1.198,1,1,1
1.2,1,1,1
1.2,1,1,1
1.202,1,1,1
1.204,1,1,1
1.206,1,1,1
1.208,1,1,1
1.21,1,1,1
1.212,1,1,1
1.214,1,1,1
1.216,1,1,1
1.218,1,1,1
1.22,1,1,1
1.222,1,1,1
1.224,1,1,1
1.226,1,1,1
1.228,1,1,1
1.23,1,1,1
1.232,1,1,1
1.234,1,1,1
1.236,1,1,1
1.238,1,1,1
1.24,1,1,1
1.242,1,1,1
1.244,1,1,1
1.246,1,1,1
1.248,1,1,1
1.25,1,1,1
1.25,1,1,1
1.252,1,1,1
1.254,1,1,1
1.256,1,1,1
1.258,1,1,1
1.26,1,1,1
1.262,1,1,1
1.264,1,1,1
1.266,1,1,1
1.268,1,1,1
1.27,1,1,1
1.272,1,1,1
1.274,1,1,1
1.276,1,1,1
1.278,1,1,1
1.28,1,1,1
1.282,1,1,1
1.284,1,1,1
1.286,1,1,1
1.288,1,1,1
1.29,1,1,1
1.292,1,1,1
1.294,1,1,1
1.296,1,1,1
1.298,1,1,1
1.3,1,1,1
1.3,1,1,1
1.302,1,1,1
1.304,1,1,1
1.306,1,1,1
1.308,1,1,1
1.31,1,1,1
1.310087895083825,1,1,1
1.310087895083825,1,1,1
1.312,1,1,1
1.314,1,1,1
1.316,1,1,1
1.318,1,1,1
1.32,1,1,1
1.322,1,1,1
1.324,1,1,1
1.326,1,1,1
1.328,1,1,1
1.33,1,1,1
1.332,1,1,1
1.334,1,1,1
1.336,1,1,1
1.338,1,1,1
1.34,1,1,1
1.342,1,1,1
1.344,1,1,1
1.346,1,1,1
1.348,1,1,1
1.350000000000001,1,1,1
1.350000000000001,1,1,1
1.352,1,1,1
1.354,1,1,1
1.356,1,1,1
1.358,1,1,1
1.36,1,1,1
1.362,1,1,1
1.364,1,1,1
1.366,1,1,1
1.368,1,1,1
1.37,1,1,1
1.372,1,1,1
1.374,1,1,1
1.376,1,1,1
1.378,1,1,1
1.38,1,1,1
1.382,1,1,1
1.384,1,1,1
1.386,1,1,1
1.388,1,1,1
1.39,1,1,1
1.392,1,1,1
1.394,1,1,1
1.396,1,1,1
1.398,1,1,1
1.4,1,1,1
1.4,1,1,1
1.402,1,1,1
1.404,1,1,1
1.406,1,1,1
1.408,1,1,1
1.41,1,1,1
1.412,1,1,1
1.414,1,1,1
1.416,1,1,1
1.418,1,1,1
1.42,1,1,1
1.422,1,1,1
1.424,1,1,1
1.426,1,1,1
1.428,1,1,1
1.43,1,1,1
1.432,1,1,1
1.434,1,1,1
1.436,1,1,1
1.438,1,1,1
1.44,1,1,1
1.442,1,1,1
1.444,1,1,1
1.446,1,1,1
1.448,1,1,1
1.450000000000001,1,1,1
1.450000000000001,1,1,1
1.452,1,1,1
1.454,1,1,1
1.456,1,1,1
1.458,1,1,1
1.46,1,1,1
1.462,1,1,1
1.464,1,1,1
1.466,1,1,1
1.468,1,1,1
1.47,1,1,1
1.472,1,1,1
1.474,1,1,1
1.476,1,1,1
1.478,1,1,1
1.48,1,1,1
1.482,1,1,1
1.484,1,1,1
1.486,1,1,1
1.488,1,1,1
1.49,1,1,1
1.492,1,1,1
1.494,1,1,1
1.496,1,1,1
1.498,1,1,1
1.500000000000001,1,1,1
1.500000000000001,1,1,1
1.502,1,1,1
1.504,1,1,1
1.506,1,1,1
1.508,1,1,1
1.51,1,1,1
1.512,1,1,1
1.514,1,1,1
1.516,1,1,1
1.518,1,1,1
1.52,1,1,1
1.522,1,1,1
1.524,1,1,1
1.526,1,1,1
1.528,1,1,1
1.53,1,1,1
1.532,1,1,1
1.534,1,1,1
1.536,1,1,1
1.538,1,1,1
1.54,1,1,1
1.542,1,1,1
1.544,1,1,1
1.546,1,1,1
1.548,1,1,1
1.550000000000001,1,1,1
1.550000000000001,1,1,1
1.552,1,1,1
1.554,1,1,1
1.556,1,1,1
1.558,1,1,1
1.56,1,1,1
1.562,1,1,1
1.564,1,1,1
1.566,1,1,1
1.568,1,1,1
1.57,1,1,1
1.572,1,1,1
1.574,1,1,1
1.576,1,1,1
1.578,1,1,1
1.58,1,1,1
1.582,1,1,1
1.584,1,1,1
1.586,1,1,1
1.588,1,1,1
1.59,1,1,1
1.592,1,1,1
1.594,1,1,1
1.596,1,1,1
1.598,1,1,1
1.6,1,1,1
1.6,1,1,1
1.602,1,1,1
1.604,1,1,1
1.606,1,1,1
1.608,1,1,1
1.61,1,1,1
1.612,1,1,1
1.614,1,1,1
1.616,1,1,1
1.618,1,1,1
1.62,1,1,1
1.622,1,1,1
1.624,1,1,1
1.626,1,1,1
1.628,1,1,1
1.63,1,1,1
1.632,1,1,1
1.634,1,1,1
1.636,1,1,1
1.638,1,1,1
1.64,1,1,1
1.642,1,1,1
1.644,1,1,1
1.646,1,1,1
1.648,1,1,1
1.650000000000001,1,1,1
1.650000000000001,1,1,1
1.652,1,1,1
1.654,1,1,1
1.656,1,1,1
1.658,1,1,1
1.66,1,1,1
1.662,1,1,1
1.664,1,1,1
1.666,1,1,1
1.668,1,1,1
1.67,1,1,1
1.672,1,1,1
1.674,1,1,1
1.676,1,1,1
1.678,1,1,1
1.68,1,1,1
1.682,1,1,1
1.684,1,1,1
1.686,1,1,1
1.688,1,1,1
1.69,1,1,1
1.692,1,1,1
1.694,1,1,1
1.696,1,1,1
1.698,1,1,1
1.700000000000001,1,1,1
1.700000000000001,1,1,1
1.702,1,1,1
1.704,1,1,1
1.706,1,1,1
1.708,1,1,1
1.71,1,1,1
1.712,1,1,1
1.714,1,1,1
1.716,1,1,1
1.718,1,1,1
1.72,1,1,1
1.722,1,1,1
1.724,1,1,1
1.726,1,1,1
1.728,1,1,1
1.73,1,1,1
1.732,1,1,1
1.734,1,1,1
1.736,1,1,1
1.738,1,1,1
1.74,1,1,1
1.742,1,1,1
1.744,1,1,1
1.746,1,1,1
1.748,1,1,1
1.750000000000001,1,1,1
1.750000000000001,1,1,1
1.752,1,1,1
1.754,1,1,1
1.756,1,1,1
1.758,1,1,1
1.76,1,1,1
1.762,1,1,1
1.764,1,1,1
1.766,1,1,1
1.768,1,1,1
1.77,1,1,1
1.772,1,1,1
1.774,1,1,1
1.776,1,1,1
1.778,1,1,1
1.78,1,1,1
1.782,1,1,1
1.784,1,1,1
1.786,1,1,1
1.788,1,1,1
1.79,1,1,1
1.792,1,1,1
1.794,1,1,1
1.796,1,1,1
1.798,1,1,1
1.8,1,1,1
1.8,1,1,1
1.802,1,1,1
1.804,1,1,1
1.806,1,1,1
1.808,1,1,1
1.81,1,1,1
1.812,1,1,1
1.814,1,1,1
1.816,1,1,1
1.818,1,1,1
1.82,1,1,1
1.822,1,1,1
1.824,1,1,1
1.826,1,1,1
1.828,1,1,1
1.83,1,1,1
1.832,1,1,1
1.834,1,1,1
1.836,1,1,1
1.838,1,1,1
1.84,1,1,1
1.842,1,1,1
1.844,1,1,1
1.846,1,1,1
1.848,1,1,1
1.850000000000001,1,1,1
1.850000000000001,1,1,1
1.852,1,1,1
1.854,1,1,1
1.856,1,1,1
1.858,1,1,1
1.86,1,1,1
1.862,1,1,1
1.864,1,1,1
1.866,1,1,1
1.868,1,1,1
1.87,1,1,1
1.872,1,1,1
1.874,1,1,1
1.876,1,1,1
1.878,1,1,1
1.88,1,1,1
1.882,1,1,1
1.884,1,1,1
1.886,1,1,1
1.888,1,1,1
1.89,1,1,1
1.892,1,1,1
1.894,1,1,1
1.896,1,1,1
1.898,1,1,1
1.900000000000001,1,1,1
1.900000000000001,1,1,1
1.902,1,1,1
1.904,1,1,1
1.906,1,1,1
1.908,1,1,1
1.91,1,1,1
1.912,1,1,1
1.914,1,1,1
1.916,1,1,1
1.918,1,1,1
1.92,1,1,1
1.922,1,1,1
1.924,1,1,1
1.926,1,1,1
1.928,1,1,1
1.93,1,1,1
1.932,1,1,1
1.934,1,1,1
1.936,1,1,1
1.938,1,1,1
1.94,1,1,1
1.942,1,1,1
1.944,1,1,1
1.946,1,1,1
1.948,1,1,1
1.950000000000001,1,1,1
1.950000000000001,1,1,1
1.952,1,1,1
1.954,1,1,1
1.956,1,1,1
1.958,1,1,1
1.96,1,1,1
1.962,1,1,1
1.964,1,1,1
1.966,1,1,1
1.968,1,1,1
1.97,1,1,1
1.972,1,1,1
1.974,1,1,1
1.976,1,1,1
1.978,1,1,1
1.98,1,1,1
1.982,1,1,1
1.984,1,1,1
1.986,1,1,1
1.988,1,1,1
1.99,1,1,1
1.992,1,1,1
1.994,1,1,1
1.996,1,1,1
1.998,1,1,1
2,1,1,1
2,1,1,1
2.002,1,1,1
2.002,1,1,1
2.004,1,1,1
2.006,1,1,1
2.008,1,1,1
2.01,1,1,1
2.012,1,1,1
2.014,1,1,1
2.016,1,1,1
2.018,1,1,1
2.02,1,1,1
2.022,1,1,1
2.024,1,1,1
2.026,1,1,1
2.028,1,1,1
2.03,1,1,1
2.032,1,1,1
2.034,1,1,1
2.036,1,1,1
2.038,1,1,1
2.04,1,1,1
2.042,1,1,1
2.044,1,1,1
2.046,1,1,1
2.048,1,1,1
2.050000000000001,1,1,1
2.050000000000001,1,1,1
2.052,1,1,1
2.054,1,1,1
2.056,1,1,1
2.058,1,1,1
2.06,1,1,1
2.062,1,1,1
2.064,1,1,1
2.066,1,1,1
2.068,1,1,1
2.07,1,1,1
2.072,1,1,1
2.074,1,1,1
2.076,1,1,1
2.078,1,1,1
2.08,1,1,1
2.082,1,1,1
2.084,1,1,1
2.086,1,1,1
2.088,1,1,1
2.09,1,1,1
2.090199362050533,1,1,1
2.090199362050533,2,2,2
2.092,2,2,2
2.094,2,2,2
2.096,2,2,2
2.098,2,2,2
2.100000000000001,2,2,2
2.100000000000001,2,2,2
2.102,2,2,2
2.104,2,2,2
2.106,2,2,2
2.108,2,2,2
2.11,2,2,2
2.112,2,2,2
2.114,2,2,2
2.116,2,2,2
2.118,2,2,2
2.12,2,2,2
2.122,2,2,2
2.124,2,2,2
2.126,2,2,2
2.128,2,2,2
2.13,2,2,2
2.132,2,2,2
2.134,2,2,2
2.136,2,2,2
2.138,2,2,2
2.14,2,2,2
2.142,2,2,2
2.144,2,2,2
2.146,2,2,2
2.148,2,2,2
2.15,2,2,2
2.15,2,2,2
2.152,2,2,2
2.154,2,2,2
2.156,2,2,2
2.158,2,2,2
2.16,2,2,2
2.162,2,2,2
2.164,2,2,2
2.166,2,2,2
2.168,2,2,2
2.17,2,2,2
2.172,2,2,2
2.174,2,2,2
2.176,2,2,2
2.178,2,2,2
2.18,2,2,2
2.182,2,2,2
2.184,2,2,2
2.186,2,2,2
2.188,2,2,2
2.19,2,2,2
2.192,2,2,2
2.194,2,2,2
2.196,2,2,2
2.198,2,2,2
2.2,2,2,2
2.2,2,2,2
2.202,2,2,2
2.204,2,2,2
2.206,2,2,2
2.208,2,2,2
2.21,2,2,2
2.212,2,2,2
2.214,2,2,2
2.216,2,2,2
2.218,2,2,2
2.22,2,2,2
2.222,2,2,2
2.224,2,2,2
2.226,2,2,2
2.228,2,2,2
2.23,2,2,2
2.232,2,2,2
2.234,2,2,2
2.236,2,2,2
2.238,2,2,2
2.24,2,2,2
2.242,2,2,2
2.244,2,2,2
2.246,2,2,2
2.248,2,2,2
2.25,2,2,2
2.25,2,2,2
2.252,2,2,2
2.254,2,2,2
2.256,2,2,2
2.258,2,2,2
2.26,2,2,2
2.262,2,2,2
2.264,2,2,2
2.266,2,2,2
2.268,2,2,2
2.27,2,2,2
2.272,2,2,2
2.274,2,2,2
2.276,2,2,2
2.278,2,2,2
2.28,2,2,2
2.282,2,2,2
2.284,2,2,2
2.286,2,2,2
2.288,2,2,2
2.29,2,2,2
2.292,2,2,2
2.294,2,2,2
2.296,2,2,2
2.298,2,2,2
2.3,2,2,2
2.3,2,2,2
2.302,2,2,2
2.304,2,2,2
2.306,2,2,2
2.308,2,2,2
2.31,2,2,2
2.310199362172534,2,2,2
2.310199362172534,2,2,2
2.312,2,2,2
2.314,2,2,2
2.316,2,2,2
2.318,2,2,2
2.32,2,2,2
2.322,2,2,2
2.324,2,2,2
2.326,2,2,2
2.328,2,2,2
2.33,2,2,2
2.332,2,2,2
2.334,2,2,2
2.336,2,2,2
2.338,2,2,2
2.34,2,2,2
2.342,2,2,2
2.344,2,2,2
2.346,2,2,2
2.348,2,2,2
2.35,2,2,2
2.35,2,2,2
2.352,2,2,2
2.354,2,2,2
2.356,2,2,2
2.358,2,2,2
2.36,2,2,2
2.362,2,2,2
2.364,2,2,2
2.366,2,2,2
2.368,2,2,2
2.37,2,2,2
2.372,2,2,2
2.374,2,2,2
2.376,2,2,2
2.378,2,2,2
2.38,2,2,2
2.382,2,2,2
2.384,2,2,2
2.386,2,2,2
2.388,2,2,2
2.39,2,2,2
2.392,2,2,2
2.394,2,2,2
2.396,2,2,2
2.398,2,2,2
2.399999999999999,2,2,2
2.399999999999999,2,2,2
2.402,2,2,2
2.404,2,2,2
2.406,2,2,2
2.408,2,2,2
2.41,2,2,2
2.412,2,2,2
2.414,2,2,2
2.416,2,2,2
2.418,2,2,2
2.42,2,2,2
2.422,2,2,2
2.424,2,2,2
2.426,2,2,2
2.428,2,2,2
2.43,2,2,2
2.432,2,2,2
2.434,2,2,2
2.436,2,2,2
2.438,2,2,2
2.44,2,2,2
2.442,2,2,2
2.444,2,2,2
2.446,2,2,2
2.448,2,2,2
2.449999999999999,2,2,2
2.449999999999999,2,2,2
2.452,2,2,2
2.454,2,2,2
2.456,2,2,2
2.458,2,2,2
2.46,2,2,2
2.462,2,2,2
2.464,2,2,2
2.466,2,2,2
2.468,2,2,2
2.47,2,2,2
2.472,2,2,2
2.474,2,2,2
2.476,2,2,2
2.478,2,2,2
2.48,2,2,2
2.482,2,2,2
2.484,2,2,2
2.486,2,2,2
2.488,2,2,2
2.49,2,2,2
2.492,2,2,2
2.494,2,2,2
2.496,2,2,2
2.498,2,2,2
2.499999999999999,2,2,2
2.499999999999999,2,2,2
2.502,2,2,2
2.504,2,2,2
2.506,2,2,2
2.508,2,2,2
2.51,2,2,2
2.512,2,2,2
2.514,2,2,2
2.516,2,2,2
2.518,2,2,2
2.52,2,2,2
2.522,2,2,2
2.524,2,2,2
2.526,2,2,2
2.528,2,2,2
2.53,2,2,2
2.532,2,2,2
2.534,2,2,2
2.536,2,2,2
2.538,2,2,2
2.54,2,2,2
2.542,2,2,2
2.544,2,2,2
2.546,2,2,2
2.548,2,2,2
2.549999999999999,2,2,2
2.549999999999999,2,2,2
2.552,2,2,2
2.554,2,2,2
2.556,2,2,2
2.558,2,2,2
2.56,2,2,2
2.562,2,2,2
2.564,2,2,2
2.566,2,2,2
2.568,2,2,2
2.57,2,2,2
2.572,2,2,2
2.574,2,2,2
2.576,2,2,2
2.578,2,2,2
2.58,2,2,2
2.582,2,2,2
2.584,2,2,2
